Crosslink.Type,Gene1.order,Gene2.order,Final_annot,Final_annot,Complex1,Complex1.1
Inter,ATP6V1H,EIF2A,Endosome,Other,vATPase V1,
Inter,ATP6V1H,FZD7,Endosome,Other,vATPase V1,
BN,ATP6V1H,INPP5A,Endosome,Other,vATPase V1,
BN,ATP6V1H,LYN,Endosome,Other,vATPase V1,
BN,ATP6V1H,NEU3,Endosome,Other,vATPase V1,
Inter,ATP6V1H,PLPP3,Endosome,Golgi,vATPase V1,
Inter,ATP6V1H,UBC,Endosome,Other,vATPase V1,
Inter,ATP6V1H,ZBBX,Endosome,Other,vATPase V1,
Intra,ATP7A,ATP7A,Endosome,Endosome,,
Inter,ATP7A,OLFML3,Endosome,Other,,
Intra,ATP7B,ATP7B,Other,Other,,
BN,ATP7B,ATP9B,Other,Other,,
BN,ATP7B,CNNM4,Other,Other,,
Inter,ATP7B,HAUS3,Other,Other,,
BN,ATP7B,IGSF8,Other,Other,,
Inter,ATP7B,KPNA1,Other,Other,,
Inter,ATP7B,KRT222,Other,Other,,
BN,ATP7B,PTK7,Other,Other,,
BN,ATP7B,SYNJ1,Other,Other,,
BN,ATP7B,TMEM237,Other,Other,,
Inter,ATP7B,VAMP3,Other,Endosome,,SNARE complex
Intra,ATP8A1,ATP8A1,Other,Other,,
BN,ATP8A1,CRAT,Other,Mito,,
BN,ATP8A1,DCBLD2,Other,Other,,
Inter,ATP8A1,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
BN,ATP8A1,SLC7A8,Other,Other,,
Inter,ATP8A1,TMEM30A,Other,Other,,
BN,ATP8A1,TRIM28,Other,Nucleus,,
BN,ATP8A2,DDX46,Other,Other,,
BN,ATP8A2,EPN1,Other,Other,,
BN,ATP8A2,NCKAP5L,Other,Other,,
BN,ATP8A2,ZDHHC8,Other,Other,,
BN,ATP8B2,ATP9A,Other,Endosome,,
BN,ATP8B2,CLCC1,Other,Other,,
Inter,ATP8B2,GFPT1,Other,Other,,
BN,ATP8B2,ITFG1,Other,Endosome,,
Intra,ATP9A,ATP9A,Endosome,Endosome,,
BN,ATP9A,ITFG1,Endosome,Endosome,,
Inter,ATP9A,MME,Endosome,Other,,
Intra,ATP9B,ATP9B,Other,Other,,
BN,ATP9B,IGSF8,Other,Other,,
BN,ATP9B,PTK7,Other,Other,,
Intra,ATR,ATR,Nucleus,Nucleus,,
BN,ATRAID,BCAP29,Lyso,Other,,
BN,ATRAID,CD276,Lyso,Other,,
BN,ATRAID,ECI1,Lyso,Mito,,
BN,ATRAID,EPB41,Lyso,Other,,
BN,ATRAID,FKBP10,Lyso,Mito,,
BN,ATRAID,PVR,Lyso,Other,,
BN,ATRAID,SGSH,Lyso,Lyso,,
BN,ATRAID,SLC37A3,Lyso,Lyso,,
Intra,ATRIP,ATRIP,Nucleus,Nucleus,,
Intra,ATRN,ATRN,Other,Other,,
BN,ATRN,GOLM2,Other,Other,,
BN,ATRN,HGS,Other,Endosome,,
BN,ATRN,PLXND1,Other,Other,,
BN,ATRN,STAM,Other,Endosome,,
BN,ATRN,STAM2,Other,Endosome,,
Inter,ATRNL1,CDK5RAP2,Other,Other,,
BN,ATRNL1,CLCN3,Other,Endosome,,
BN,ATRNL1,CLCN4,Other,Other,,
BN,ATRNL1,CLCN5,Other,Lyso,,
BN,ATRNL1,LNPEP,Other,Endosome,,
BN,ATRNL1,LYSMD4,Other,Other,,
BN,ATRNL1,MCOLN1,Other,Lyso,,
BN,ATRNL1,PKN2,Other,Other,,
Inter,ATRNL1,PPP1R14A,Other,Other,,
BN,ATRNL1,PRKAR2A,Other,Other,,
BN,ATRNL1,SLC12A4,Other,Endosome,,
BN,ATRNL1,SLC1A1,Other,Endosome,,
BN,ATRNL1,SLC1A3,Other,Endosome,,
BN,ATRNL1,SMCR8,Other,Other,,
BN,ATRNL1,TMEM9,Other,Endosome,,
BN,ATRNL1,TMEM9B,Other,Endosome,,
Intra,ATRX,ATRX,Nucleus,Nucleus,,
Inter,ATRX,BTBD8,Nucleus,Other,,
Inter,ATRX,CFAP44,Nucleus,Other,,
Inter,ATRX,CHD4,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,ATRX,DDX18,Nucleus,Nucleus,,
Inter,ATRX,EEA1,Nucleus,Endosome,,
Inter,ATRX,EXD3,Nucleus,Other,,
Inter,ATRX,HDAC1,Nucleus,Nucleus,,
Inter,ATRX,HSFX3,Nucleus,Nucleus,,
Inter,ATRX,KLHL5,Nucleus,Other,,
Inter,ATRX,KTN1,Nucleus,Other,,
Inter,ATRX,PER3,Nucleus,Other,,
Inter,ATRX,RESF1,Nucleus,Nucleus,,
Inter,ATRX,TICAM2,Nucleus,Golgi,,
Inter,ATRX,TNNI3,Nucleus,Other,,
Intra,ATXN10,ATXN10,Other,Other,,
Inter,ATXN2,PRPF40A,Other,Nucleus,,
Inter,ATXN2,RAB14,Other,Endosome,,
Inter,ATXN2,RPL3,Other,Other,,"Ribosome, cytoplasmic"
Intra,ATXN2L,ATXN2L,Other,Other,,
Inter,ATXN3L,GATAD2B,Nucleus,Nucleus,,
Inter,ATXN3L,HDAC1,Nucleus,Nucleus,,
Inter,ATXN3L,HDAC2,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,ATXN3L,MTA1,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,ATXN3L,MTA2,Nucleus,Nucleus,,
Inter,ATXN3L,RBBP7,Nucleus,Nucleus,,
Inter,ATXN7L2,VPS45,Other,Endosome,,
Inter,ATXN7L3,EEA1,Nucleus,Endosome,,
Inter,AUP1,UBE2G2,Other,Other,,
Intra,AVEN,AVEN,Other,Other,,
Inter,AVEN,FOCAD,Other,Other,,
BN,AVL9,MSN,Other,Endosome,,
Inter,AXDND1,EEA1,Other,Endosome,,
Inter,AXDND1,PCF11,Other,Nucleus,,
Inter,AXIN1,MTA1,Other,Other,v-ATPase-Ragulator-AXIN/LKB1-AMPK complex,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,AXIN2,EEA1,Other,Endosome,,
Inter,AXIN2,SRP72,Other,Other,,
Intra,AZI2,AZI2,Other,Other,,
Inter,AZI2,RPL3,Other,Other,,"Ribosome, cytoplasmic"
Intra,B2M,B2M,Other,Other,,
Inter,B2M,HEATR9,Other,Other,,
Intra,B3GALNT2,B3GALNT2,Golgi,Golgi,,
Intra,B3GLCT,B3GLCT,Other,Other,,
BN,B3GLCT,CD82,Other,Other,,
Inter,B4GALT3,EEA1,Golgi,Endosome,,
Inter,B4GAT1,GRIP1,Golgi,Other,,
BN,BACE2,HLA-B,Other,Other,,
BN,BACE2,HLA-G,Other,Other,,
Intra,BAG2,BAG2,Endosome,Endosome,,
Inter,BAG2,CENPF,Endosome,Other,,
Inter,BAG2,HSPA1B,Endosome,Other,,
Inter,BAG2,HSPA8,Endosome,Endosome,,
BN,BAG5,FAM177A1,Other,Other,,
BN,BAG5,SNX17,Other,Endosome,,
Inter,BAG6,PRPF19,Other,Other,,C complex spliceosome
Inter,BAHCC1,TH,Other,Other,,
BN,BAIAP2L1,IL17RD,Other,Other,,
BN,BAIAP2L1,NCSTN,Other,Endosome,,"Gamma-secretase complex (APH1A, PSENEN, PSEN1, NCSTN, TMP21)"
BN,BAIAP2L1,SLC7A11,Other,Other,,
BN,BAIAP2L1,UNC5B,Other,Other,,
Inter,BARD1,CDK5RAP2,Other,Other,,
Inter,BARD1,FAM120C,Other,Other,,
Intra,BASP1,BASP1,Other,Other,,
Inter,BAZ1A,ITSN1,Nucleus,Endosome,,
Inter,BAZ1A,SEPTIN1,Nucleus,Other,,
Inter,BAZ1B,BZW1,Nucleus,Other,,
Inter,BAZ1B,EEA1,Nucleus,Endosome,,
Inter,BAZ1B,HSP90AB1,Nucleus,Endosome,,Kinase maturation complex 1
Inter,BAZ1B,HSPA5,Nucleus,Endosome,,
Inter,BAZ1B,MIS18A,Nucleus,Nucleus,,
Inter,BAZ1B,SH3GL2,Nucleus,Other,,
Inter,BAZ2A,EEF1D,Nucleus,Nucleus,,
Inter,BAZ2B,EEA1,Nucleus,Endosome,,
Inter,BAZ2B,FNDC7,Nucleus,Other,,
Inter,BAZ2B,IGF2R,Nucleus,Endosome,,
Inter,BAZ2B,MDH2,Nucleus,Mito,,
Inter,BAZ2B,ZNF775,Nucleus,Nucleus,,
Inter,BBOF1,EEA1,Other,Endosome,,
Inter,BBS12,PDS5A,Other,Nucleus,,
Inter,BBS2,BBS7,Other,Other,,
Intra,BBX,BBX,Nucleus,Nucleus,,
Inter,BBX,EDRF1,Nucleus,Nucleus,,
Inter,BBX,NEFM,Nucleus,Other,,
Inter,BBX,VIM,Nucleus,Endosome,,
Intra,BCAP29,BCAP29,Other,Other,,
Inter,BCAP29,BCAP31,Other,Other,,
BN,BCAP29,ECI1,Other,Mito,,
BN,BCAP29,EPB41,Other,Other,,
BN,BCAP29,FKBP10,Other,Mito,,
Inter,BCAP29,LRRC59,Other,Endosome,,
Inter,BCAP29,MYZAP,Other,Other,,
Inter,BCAP29,SETMAR,Other,Nucleus,,
BN,BCAP29,SGSH,Other,Lyso,,
BN,BCAP29,SLC37A3,Other,Lyso,,
Intra,BCAP31,BCAP31,Other,Other,,
Inter,BCAP31,BPTF,Other,Other,,
Inter,BCAP31,CCDC186,Other,Other,,
Inter,BCAP31,CCDC74A,Other,Other,,
Inter,BCAP31,CDYL2,Other,Nucleus,,
Inter,BCAP31,CNTRL,Other,Other,,
Inter,BCAP31,EEA1,Other,Endosome,,
Inter,BCAP31,EEF1D,Other,Nucleus,,
Inter,BCAP31,EML6,Other,Other,,
Inter,BCAP31,EXOC4,Other,Other,,
Inter,BCAP31,GRSF1,Other,Mito,,
Inter,BCAP31,KIF21B,Other,Other,,
Inter,BCAP31,KIF5C,Other,Other,,
Inter,BCAP31,LYVE1,Other,Other,,
Inter,BCAP31,MYH16,Other,Other,,
Inter,BCAP31,PNPLA8,Other,Mito,,
Inter,BCAP31,REEP5,Other,Endosome,,
Inter,BCAP31,RYR2,Other,Other,,
Inter,BCAP31,SACM1L,Other,Other,,
Inter,BCAP31,ZFYVE9,Other,Endosome,,
Inter,BCAS1,FEN1,Other,Other,,
Inter,BCAS2,CDC5L,Nucleus,Other,,
Intra,BCAT2,BCAT2,Mito,Mito,,
BN,BCAT2,CXXC1,Mito,Nucleus,,
BN,BCAT2,HK3,Mito,Other,,
BN,BCAT2,MMP2,Mito,Other,,
BN,BCAT2,NADK2,Mito,Mito,,
BN,BCAT2,SCAMP1,Mito,Endosome,,SCAMP1-SCAMP2-SCAMP3 complex
BN,BCAT2,SLC2A8,Mito,Other,,
BN,BCAT2,SPNS1,Mito,Lyso,,
BN,BCAT2,SUPV3L1,Mito,Mito,,
BN,BCAT2,TAF5,Mito,Nucleus,,
BN,BCAT2,USP39,Mito,Nucleus,,
Intra,BCKDK,BCKDK,Mito,Mito,,
Intra,BCL7A,BCL7A,Other,Other,,
Intra,BCLAF1,BCLAF1,Other,Other,,
Inter,BCLAF1,CCNO,Other,Other,,
Inter,BCLAF1,ERH,Other,Nucleus,,
Inter,BCLAF1,GRIN2A,Other,Other,,
Inter,BCLAF1,HSP90AA1,Other,Other,,Kinase maturation complex 1
Inter,BCLAF1,IFIT2,Other,Other,,
Inter,BCLAF1,KMT2A,Other,Nucleus,,
Inter,BCLAF1,LAMP5,Other,Lyso,,
Inter,BCLAF1,LCA5L,Other,Other,,
Inter,BCLAF1,LYST,Other,Other,,
Inter,BCLAF1,MAPK6,Other,Other,,
Inter,BCLAF1,PGLYRP4,Other,Other,,
Inter,BCLAF1,THRAP3,Other,Nucleus,,
Inter,BCLAF1,TTLL6,Other,Other,,
Inter,BCLAF1,TTN,Other,Other,,
Inter,BCLAF1,XPC,Other,Other,,
Inter,BCO2,DPF3,Mito,Nucleus,,
Inter,BCOR,RPS18,Nucleus,Other,,"Ribosome, cytoplasmic"
Inter,BCORL1,EEPD1,Nucleus,Other,,
Inter,BCORL1,POR,Nucleus,Endosome,,
Inter,BCORL1,ZNF462,Nucleus,Nucleus,,
Intra,BCR,BCR,Other,Other,,
Inter,BCR,HSPA1B,Other,Other,,
Inter,BCR,RAB11A,Other,Endosome,,
BN,BCS1L,ITGA7,Mito,Other,,
BN,BCS1L,SCN10A,Mito,Other,,
BN,BCS1L,SLC10A3,Mito,Other,,
Inter,BDP1,GIT1,Nucleus,Other,,
Inter,BDP1,STX7,Nucleus,Endosome,,
Intra,BECN1,BECN1,Endosome,Endosome,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex
BN,BECN1,PIK3C3,Endosome,Endosome,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex
BN,BECN1,PIK3R4,Endosome,Endosome,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex
Inter,BECN1,UVRAG,Endosome,Other,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex
Inter,BEGAIN,HNRNPA0,Other,Nucleus,,
Inter,BEND5,GIT1,Other,Other,,
Inter,BEST1,RESF1,Other,Nucleus,,
Intra,BET1L,BET1L,Golgi,Golgi,,
Inter,BEX4,THOC2,Other,Nucleus,,
Inter,BICC1,OCLN,Other,Other,,
Inter,BICD1,CKAP4,Golgi,Other,,
Inter,BICD1,PLXNC1,Golgi,Other,,
Inter,BICD1,RAB39A,Golgi,Endosome,,
Inter,BICDL1,EEA1,Other,Endosome,,
Inter,BICDL1,GNPAT,Other,Other,,
Inter,BICDL1,NEFM,Other,Other,,
Intra,BIN3,BIN3,Other,Other,,
Intra,BIRC6,BIRC6,Other,Other,,
Inter,BIRC6,KIF21A,Other,Other,,
Intra,BLM,BLM,Nucleus,Nucleus,,
Inter,BLOC1S1,BLOC1S2,Endosome,Endosome,BORC complex,BORC complex
BN,BLOC1S1,BORCS5,Endosome,Endosome,BORC complex,BORC complex
BN,BLOC1S1,BORCS6,Endosome,Endosome,BORC complex,BORC complex
BN,BLOC1S1,BORCS7,Endosome,Endosome,BORC complex,BORC complex
BN,BLOC1S1,BORCS8,Endosome,Endosome,BORC complex,BORC complex
Inter,BLOC1S1,KXD1,Endosome,Endosome,BORC complex,BORC complex
Inter,BLOC1S1,PGC,Endosome,Other,BORC complex,
BN,BLOC1S1,SNAPIN,Endosome,Endosome,BORC complex,BORC complex
Inter,BLOC1S1,TASOR,Endosome,Nucleus,BORC complex,
BN,BLOC1S2,BORCS5,Endosome,Endosome,BORC complex,BORC complex
Inter,BLOC1S2,BORCS6,Endosome,Endosome,BORC complex,BORC complex
BN,BLOC1S2,BORCS7,Endosome,Endosome,BORC complex,BORC complex
BN,BLOC1S2,BORCS8,Endosome,Endosome,BORC complex,BORC complex
Inter,BLOC1S2,DNAH12,Endosome,Other,BORC complex,
Inter,BLOC1S2,EEA1,Endosome,Endosome,BORC complex,
BN,BLOC1S2,KXD1,Endosome,Endosome,BORC complex,BORC complex
Inter,BLOC1S2,PIP4P1,Endosome,Lyso,BORC complex,
Inter,BLOC1S2,SNAPIN,Endosome,Endosome,BORC complex,BORC complex
Inter,BLTP1,GOLGB1,Other,Golgi,,
Intra,BLTP2,BLTP2,Other,Other,,
Inter,BLVRA,HSP90AA1,Other,Other,,Kinase maturation complex 1
Inter,BLZF1,PRPF8,Golgi,Nucleus,,
Inter,BMAL1,H3-4,Other,Nucleus,,
Inter,BMERB1,GPX8,Other,Other,,
Inter,BMERB1,TRMT1,Other,Mito,,
Inter,BMI1,CCDC146,Other,Other,,
Intra,BMP2K,BMP2K,Nucleus,Nucleus,,
Inter,BMP2K,REPS1,Nucleus,Lyso,,
Inter,BMP3,YBX3,Other,Other,,
Intra,BMPR2,BMPR2,Other,Other,,
BN,BMPR2,JAK1,Other,Other,,
Inter,BMS1,EIF3B,Nucleus,Other,,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)"
Inter,BMX,ZNF718,Other,Nucleus,,
Inter,BNC1,NCL,Other,Other,,
Intra,BNIP1,BNIP1,Lyso,Lyso,,
Inter,BNIP1,RINT1,Lyso,Other,,
Inter,BOD1L1,CLTC,Nucleus,Endosome,,PI4K2A-WASH complex
Inter,BOD1L1,RAB9A,Nucleus,Endosome,,
Inter,BOD1L1,THOC2,Nucleus,Nucleus,,
BN,BORCS5,BORCS6,Endosome,Endosome,BORC complex,BORC complex
Inter,BORCS5,BORCS7,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS5,BORCS8,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS5,KXD1,Endosome,Endosome,BORC complex,BORC complex
Inter,BORCS5,LYSMD4,Endosome,Other,BORC complex,
Inter,BORCS5,SNAPIN,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS5,TMEM132E,Endosome,Other,BORC complex,
Intra,BORCS6,BORCS6,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS6,BORCS7,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS6,BORCS8,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS6,KXD1,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS6,SNAPIN,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS7,BORCS8,Endosome,Endosome,BORC complex,BORC complex
Inter,BORCS7,DNAH12,Endosome,Other,BORC complex,
BN,BORCS7,KXD1,Endosome,Endosome,BORC complex,BORC complex
Inter,BORCS7,LAMTOR4,Endosome,Lyso,BORC complex,v-ATPase-Ragulator-AXIN/LKB1-AMPK complex
Inter,BORCS7,MYO18B,Endosome,Other,BORC complex,
Inter,BORCS7,PI4K2A,Endosome,Endosome,BORC complex,PI4K2A-WASH complex
Inter,BORCS7,RAB7A,Endosome,Endosome,BORC complex,
Inter,BORCS7,SECISBP2L,Endosome,Other,BORC complex,
BN,BORCS7,SNAPIN,Endosome,Endosome,BORC complex,BORC complex
Inter,BORCS7,TEK,Endosome,Other,BORC complex,
Inter,BORCS7,TIMELESS,Endosome,Nucleus,BORC complex,
BN,BORCS7,TMEM132E,Endosome,Other,BORC complex,
Inter,BORCS7,UBC,Endosome,Other,BORC complex,
BN,BORCS8,KXD1,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS8,SNAPIN,Endosome,Endosome,BORC complex,BORC complex
BN,BORCS8,TMEM132E,Endosome,Other,BORC complex,
Inter,BPHL,CHD4,Mito,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Intra,BPTF,BPTF,Other,Other,,
Inter,BPTF,CHD4,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,BPTF,DOCK1,Other,Other,,
Inter,BPTF,TMEM9,Other,Endosome,,
Inter,BRCA2,RAB5B,Other,Endosome,,
Inter,BRD2,NKTR,Nucleus,Other,,
Inter,BRD3,EEA1,Nucleus,Endosome,,
Inter,BRD8,EEA1,Nucleus,Endosome,,
Inter,BRD8,MTA1,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,BRF1,EEA1,Nucleus,Endosome,,
Intra,BRIP1,BRIP1,Other,Other,,
Inter,BRMS1L,SUDS3,Nucleus,Nucleus,,
Inter,BROX,CEP68,Nucleus,Other,,
Inter,BROX,JAK2,Nucleus,Other,,
Inter,BRPF1,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,BRSK1,TAF1,Other,Nucleus,,
Intra,BRWD3,BRWD3,Other,Other,,
Inter,BRWD3,VAMP3,Other,Endosome,,SNARE complex
Intra,BSDC1,BSDC1,Other,Other,,
BN,BSDC1,SERINC3,Other,Other,,
Intra,BSG,BSG,Endosome,Endosome,,
Inter,BSG,CHD2,Endosome,Nucleus,,
Inter,BSN,IREB2,Other,Other,,
Inter,BTBD2,IGF2R,Other,Endosome,,
Inter,BTBD7,CCDC18,Nucleus,Other,,
Inter,BTBD7,EEA1,Nucleus,Endosome,,
Inter,BTBD7,SCAMP3,Nucleus,Endosome,,SCAMP1-SCAMP2-SCAMP3 complex
BN,BTD,IDS,Other,Lyso,,
BN,BTD,REEP5,Other,Endosome,,
Inter,BTG3,OCLN,Other,Other,,
Intra,BTN2A1,BTN2A1,Other,Other,,
BN,BTN2A1,BTN2A2,Other,Other,,
Inter,BTN2A1,LMNB1,Other,Nucleus,,
BN,BTN2A1,MDGA2,Other,Other,,
BN,BTN2A1,NCKAP5L,Other,Other,,
BN,BTN2A1,SLC34A2,Other,Other,,
BN,BTN2A1,SLC38A7,Other,Lyso,,
BN,BTN2A2,DNAJA1,Other,Other,,
BN,BTN2A2,DNAJA2,Other,Other,,
BN,BTN2A2,ENPP4,Other,Other,,
BN,BTN2A2,FZD1,Other,Other,,
BN,BTN2A2,M6PR,Other,Endosome,,
BN,BTN2A2,MANBA,Other,Lyso,,
BN,BTN2A2,MDGA2,Other,Other,,
BN,BTN2A2,NCKAP5L,Other,Other,,
BN,BTN2A2,NUCB2,Other,Golgi,,
BN,BTN2A2,PALS2,Other,Other,,
BN,BTN2A2,SLC29A2,Other,Other,,
BN,BTN2A2,SLC38A7,Other,Lyso,,
Intra,BTN3A1,BTN3A1,Other,Other,,
BN,BTN3A1,EPB41,Other,Other,,
BN,BTN3A1,FKBP10,Other,Mito,,
BN,BTN3A1,MARVELD2,Other,Other,,
BN,BTN3A1,NDST1,Other,Golgi,,
BN,BTN3A1,NECTIN2,Other,Other,,
BN,BTN3A1,NEDD4,Other,Other,,PI4K2A-WASH complex
BN,BTN3A1,SLC11A2,Other,Endosome,,
BN,BTN3A1,SLC36A4,Other,Other,,
BN,BTN3A1,SPPL2A,Other,Lyso,,
Inter,BUD13,STX7,Nucleus,Endosome,,
Inter,BVES,TRPA1,Other,Other,,
Intra,BYSL,BYSL,Other,Other,,
Inter,BYSL,CEP70,Other,Other,,
Intra,BZW1,BZW1,Other,Other,,
Inter,BZW1,DST,Other,Other,,
Inter,BZW2,EEA1,Other,Endosome,,
Inter,C10orf67,RPLP2,Other,Other,,
Inter,C10orf90,IGF2R,Other,Endosome,,
Inter,C11orf54,EIF3J,Nucleus,Other,,
Inter,C11orf54,RPL36,Nucleus,Other,,"Ribosome, cytoplasmic"
Inter,C11orf54,RPL7A,Nucleus,Other,,"Ribosome, cytoplasmic"
Inter,C13orf42,RBBP7,Other,Nucleus,,
Inter,C16orf96,THRAP3,Other,Nucleus,,
BN,C17orf75,C3orf18,Golgi,Other,,
BN,C17orf75,DEGS1,Golgi,Other,,
BN,C17orf75,PDIA5,Golgi,Other,,
BN,C17orf75,SLC35G2,Golgi,Other,,
BN,C17orf75,ZMPSTE24,Golgi,Other,,
Inter,C18orf63,RPS6KC1,Other,Other,,
Inter,C19orf18,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,C1orf141,LAMA3,Other,Other,,
BN,C1orf159,LRP8,Other,Other,,
BN,C1orf159,SMO,Other,Other,,
Inter,C1orf167,EEA1,Other,Endosome,,
Inter,C1orf21,MTA2,Other,Nucleus,,
Intra,C1QBP,C1QBP,Mito,Mito,,
Inter,C1QBP,NARF,Mito,Nucleus,,
Inter,C1R,EEF1D,Other,Nucleus,,
BN,C1S,HK1,Other,Other,,
Inter,C21orf58,FXR1,Other,Other,,
Inter,C22orf23,VIM,Other,Endosome,,
Inter,C22orf31,MBD2,Other,Nucleus,,
Inter,C22orf31,SMC6,Other,Nucleus,,
Inter,C2CD3,EEF1A1P5,Other,Other,,
Inter,C2CD3,GATAD2A,Other,Nucleus,,
Inter,C2CD3,HDAC1,Other,Nucleus,,
Inter,C2CD3,RPL24,Other,Other,,
Inter,C2CD4D,CHD4,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Intra,C2CD5,C2CD5,Other,Other,,
Inter,C2orf49,TEX15,Nucleus,Other,,
BN,C3orf18,DEGS1,Other,Other,,
BN,C3orf18,FSCN1,Other,Other,,
BN,C3orf18,PDIA5,Other,Other,,
BN,C3orf18,SLC35G2,Other,Other,,
BN,C3orf18,STOML1,Other,Other,,
BN,C3orf18,ZMPSTE24,Other,Other,,
Inter,C4orf33,EEA1,Other,Endosome,,
Inter,C5orf24,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,C6,RABEP1,Other,Endosome,,
Intra,C6orf47,C6orf47,Other,Other,,
Inter,C6orf62,ELF2,Other,Nucleus,,
Inter,C7,YBX3,Other,Other,,
Inter,C8orf33,EXOG,Other,Mito,,
Inter,C9,PRKCQ,Other,Other,,
BN,C9JQL5,CLN3,Other,Lyso,,
BN,C9JQL5,CTNS,Other,Lyso,,
BN,C9JQL5,ENPP4,Other,Other,,
BN,C9JQL5,FZD1,Other,Other,,
BN,C9JQL5,IFITM3,Other,Endosome,,
BN,C9ORF72,SMCR8,Other,Other,,
Intra,CAAP1,CAAP1,Other,Other,,
Inter,CAAP1,REV1,Other,Nucleus,,
Inter,CABIN1,PIK3C2A,Nucleus,Other,,
Inter,CABS1,TFRC,Other,Endosome,,
Intra,CACHD1,CACHD1,Other,Other,,
BN,CACHD1,LDLR,Other,Endosome,,
BN,CACHD1,MT-CO2,Other,Mito,,"Cytochrome c oxidase, mitochondrial"
BN,CACHD1,MT-CO3,Other,Mito,,"Cytochrome c oxidase, mitochondrial"
BN,CACHD1,NECTIN3,Other,Other,,
BN,CACHD1,SLC26A2,Other,Other,,
BN,CACHD1,TMEM63C,Other,Other,,
BN,CACHD1,UGGT1,Other,Other,,
Inter,CACNA1A,TRIQK,Other,Other,,
Inter,CACNA1G,PAXBP1,Other,Nucleus,,
Intra,CACNA2D1,CACNA2D1,Other,Other,,
BN,CACNA2D1,CACNA2D2,Other,Other,,
BN,CACNA2D1,EPHB3,Other,Other,,
BN,CACNA2D1,IKBIP,Other,Other,,
BN,CACNA2D1,LDLR,Other,Endosome,,
Inter,CACNA2D1,MTA1,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,CACNA2D1,MTA2,Other,Nucleus,,
Inter,CACNA2D1,NUP210,Other,Other,,
BN,CACNA2D2,EPHB3,Other,Other,,
BN,CACNA2D2,IKBIP,Other,Other,,
BN,CACNA2D2,LDLR,Other,Endosome,,
Inter,CACNA2D2,MYH10,Other,Other,,
Inter,CACNB4,EEA1,Other,Endosome,,
Inter,CACUL1,HSPA1B,Other,Other,,
Intra,CACYBP,CACYBP,Other,Other,,
Inter,CACYBP,DNAJC1,Other,Other,,
Inter,CACYBP,PRDX3,Other,Mito,,
Intra,CAD,CAD,Other,Other,,
BN,CADM1,CD276,Other,Other,,
BN,CADM1,PVR,Other,Other,,
Inter,CADM2,CCDC15,Other,Other,,
BN,CADM4,CTNS,Other,Lyso,,
BN,CADM4,IFITM2,Other,Other,,
Inter,CALCOCO1,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,CALCOCO1,SNX6,Other,Endosome,,
Inter,CALCOCO2,CEP290,Other,Other,,
BN,CALM2,LYRM4,Other,Mito,,
BN,CALM2,NFS1,Other,Mito,,
Intra,CALM3,CALM3,Other,Other,,
Inter,CALM3,HERC2,Other,Other,,
Inter,CALM3,MYO1B,Other,Other,,
Inter,CALM3,MYO1C,Other,Other,,
Inter,CALM3,MYO1D,Other,Other,,
Inter,CALM3,MYO6,Other,Other,,
Inter,CALM3,TLK1,Other,Nucleus,,
Inter,CALM3,TUBGCP3,Other,Other,,
Inter,CALM3,UBR4,Other,Other,,
BN,CALML5,KRT15,Other,Other,,
BN,CALML5,KRT17,Other,Other,,
BN,CALML5,KRT4,Other,Other,,
